CATEGORY,MCC
"Government Licensed On-line Casinos (On-Line Gambling)(US Region only) Restricted
government_licensed_online_casions_online_gambling_us_region_only",7801
"Government Services (Not Elsewhere Classified) Restricted
government_services",9399
"Government-Licensed Horse/Dog Racing (US Region only) Restricted
government_licensed_horse_dog_racing_us_region_only",7802
"Government-Owned Lotteries (Non-US region)
government_owned_lotteries_non_us_region",9406
"Government-Owned Lotteries (US Region only) Restricted
government_owned_lotteries_us_region_only",7800
"Grocery Stores, Supermarkets
grocery_stores_supermarkets",5411
"Hardware Stores
hardware_stores",5251
"Hardware, Equipment, and Supplies
hardware_equipment_and_supplies",5072
"Health and Beauty Spas
health_and_beauty_spas",7298
"Hearing Aids Sales and Supplies Restricted
hearing_aids_sales_and_supplies",5975
"Heating, Plumbing, A/C
heating_plumbing_a_c",1711
"Hobby, Toy, and Game Shops
hobby_toy_and_game_shops",5945
"Home Supply Warehouse Stores
home_supply_warehouse_stores",5200
"Hospitals Restricted
hospitals",8062
"Hotels, Motels, and Resorts
hotels_motels_and_resorts",7011
"Household Appliance Stores
household_appliance_stores",5722
"Industrial Supplies (Not Elsewhere Classified)
industrial_supplies",5085
"Information Retrieval Services
information_retrieval_services",7375
"Insurance Underwriting, Premiums Restricted
insurance_underwriting_premiums",6300
"Intra-Company Purchases
intra_company_purchases",9950
"Jewelry Stores, Watches, Clocks, and Silverware Stores
jewelry_stores_watches_clocks_and_silverware_stores",5944
"Landscaping Services
landscaping_services",780
"Laundries
laundries",7211
"Laundry, Cleaning Services
laundry_cleaning_services",7210
"Legal Services, Attorneys
legal_services_attorneys",8111
"Luggage and Leather Goods Stores
luggage_and_leather_goods_stores",5948
"Lumber, Building Materials Stores
lumber_building_materials_stores",5211
"Marinas, Service and Supplies
marinas_service_and_supplies",4468
"Marketplaces
marketplaces",5262
"Masonry, Stonework, and Plaster
masonry_stonework_and_plaster",1740
"Massage Parlors
massage_parlors",7297
"Medical Services Restricted
medical_services",8099
"Medical and Dental Labs Restricted
medical_and_dental_labs",8071
"Medical, Dental, Ophthalmic, and Hospital Equipment and Supplies Restricted
medical_dental_ophthalmic_and_hospital_equipment_and_supplies",5047
"Membership Organizations
membership_organizations",8699
"Mens and Boys Clothing and Accessories Stores
mens_and_boys_clothing_and_accessories_stores",5611
"Mens, Womens Clothing Stores
mens_womens_clothing_stores",5691
"Metal Service Centers
metal_service_centers",5051
"Miscellaneous Apparel and Accessory Shops
miscellaneous_apparel_and_accessory_shops",5699
"Miscellaneous Auto Dealers
miscellaneous_auto_dealers",5599
"Miscellaneous Business Services
miscellaneous_business_services",7399
"Miscellaneous Food Stores - Convenience Stores and Specialty Markets
miscellaneous_food_stores",5499
"Miscellaneous General Merchandise
miscellaneous_general_merchandise",5399
"Miscellaneous General Services
miscellaneous_general_services",7299
"Miscellaneous Home Furnishing Specialty Stores
miscellaneous_home_furnishing_specialty_stores",5719
"Miscellaneous Publishing and Printing
miscellaneous_publishing_and_printing",2741
"Miscellaneous Recreation Services
miscellaneous_recreation_services",7999
"Miscellaneous Repair Shops
miscellaneous_repair_shops",7699
"Miscellaneous Specialty Retail
miscellaneous_specialty_retail",5999
"Mobile Home Dealers
mobile_home_dealers",5271
"Motion Picture Theaters
motion_picture_theaters",7832
"Motor Freight Carriers and Trucking - Local and Long Distance, Moving and Storage Companies, and Local Delivery Services
motor_freight_carriers_and_trucking",4214
"Motor Homes Dealers
motor_homes_dealers",5592
"Motor Vehicle Supplies and New Parts
motor_vehicle_supplies_and_new_parts",5013
"Motorcycle Shops and Dealers
motorcycle_shops_and_dealers",5571
"Motorcycle Shops, Dealers
motorcycle_shops_dealers",5561
"Music Stores-Musical Instruments, Pianos, and Sheet Music
music_stores_musical_instruments_pianos_and_sheet_music",5733
"News Dealers and Newsstands
news_dealers_and_newsstands",5994
"Non-FI, Money Orders Restricted
non_fi_money_orders",6051
"Non-FI, Stored Value Card Purchase/Load Restricted
non_fi_stored_value_card_purchase_load",6540
"Nondurable Goods (Not Elsewhere Classified)
nondurable_goods",5199
"Nurseries, Lawn and Garden Supply Stores
nurseries_lawn_and_garden_supply_stores",5261
"Nursing/Personal Care Restricted
nursing_personal_care",8050
"Office and Commercial Furniture
office_and_commercial_furniture",5021
"Opticians, Eyeglasses Restricted
opticians_eyeglasses",8043
"Optometrists, Ophthalmologist Restricted
optometrists_ophthalmologist",8042
"Orthopedic Goods - Prosthetic Devices Restricted
orthopedic_goods_prosthetic_devices",5976
"Osteopaths Restricted
osteopaths",8031
"Package Stores-Beer, Wine, and Liquor
package_stores_beer_wine_and_liquor",5921
"Paints, Varnishes, and Supplies
paints_varnishes_and_supplies",5198
"Parking Lots, Garages
parking_lots_garages",7523
"Passenger Railways
passenger_railways",4112
"Pawn Shops
pawn_shops",5933
"Pet Shops, Pet Food, and Supplies
pet_shops_pet_food_and_supplies",5995
"Petroleum and Petroleum Products
petroleum_and_petroleum_products",5172
"Photo Developing
photo_developing",7395
"Photographic Studios
photographic_studios",7221
"Photographic, Photocopy, Microfilm Equipment, and Supplies
photographic_photocopy_microfilm_equipment_and_supplies",5044
"Picture/Video Production
picture_video_production",7829
"Piece Goods, Notions, and Other Dry Goods
piece_goods_notions_and_other_dry_goods",5131
"Plumbing, Heating Equipment, and Supplies
plumbing_heating_equipment_and_supplies",5074
"Political Organizations Restricted
political_organizations",8651
"Postal Services - Government Only Restricted
postal_services_government_only",9402
"Precious Stones and Metals, Watches and Jewelry
precious_stones_and_metals_watches_and_jewelry",5094
"Professional Services
professional_services",8999
"Public Warehousing and Storage - Farm Products, Refrigerated Goods, Household Goods, and Storage
public_warehousing_and_storage",4225
"Quick Copy, Repro, and Blueprint
quick_copy_repro_and_blueprint",7338
"Railroads
railroads",4011
"Real Estate Agents and Managers - Rentals
real_estate_agents_and_managers_rentals",6513
"Record Stores
record_stores",5735
"Recreational Vehicle Rentals
recreational_vehicle_rentals",7519
"Religious Goods Stores
religious_goods_stores",5973
"Religious Organizations Restricted
religious_organizations",8661
"Roofing/Siding, Sheet Metal
roofing_siding_sheet_metal",1761
"Secretarial Support Services
secretarial_support_services",7339
"Security Brokers/Dealers Restricted
security_brokers_dealers",6211
"Service Stations
service_stations",5541
"Sewing, Needlework, Fabric, and Piece Goods Stores
sewing_needlework_fabric_and_piece_goods_stores",5949
"Shoe Repair/Hat Cleaning
shoe_repair_hat_cleaning",7251
"Shoe Stores
shoe_stores",5661
"Small Appliance Repair
small_appliance_repair",7629
"Snowmobile Dealers
snowmobile_dealers",5598
"Special Trade Services
special_trade_services",1799
"Specialty Cleaning
specialty_cleaning",2842
"Sporting Goods Stores
sporting_goods_stores",5941
"Sporting/Recreation Camps
sporting_recreation_camps",7032
"Sports Clubs/Fields
sports_clubs_fields",7941
"Sports and Riding Apparel Stores
sports_and_riding_apparel_stores",5655
"Stamp and Coin Stores
stamp_and_coin_stores",5972
"Stationary, Office Supplies, Printing and Writing Paper
stationary_office_supplies_printing_and_writing_paper",5111
"Stationery Stores, Office, and School Supply Stores
stationery_stores_office_and_school_supply_stores",5943
"Swimming Pools Sales
swimming_pools_sales",5996
"TUI Travel - Germany
t_ui_travel_germany",4723
"Tailors, Alterations
tailors_alterations",5697
"Tax Payments - Government Agencies Restricted
tax_payments_government_agencies",9311
"Tax Preparation Services
tax_preparation_services",7276
"Taxicabs/Limousines
taxicabs_limousines",4121
"Telecommunication Equipment and Telephone Sales
telecommunication_equipment_and_telephone_sales",4812
"Telecommunication Services Restricted
telecommunication_services",4814
"Telegraph Services
telegraph_services",4821
"Tent and Awning Shops
tent_and_awning_shops",5998
"Testing Laboratories
testing_laboratories",8734
"Theatrical Ticket Agencies
theatrical_ticket_agencies",7922
"Timeshares Restricted
timeshares",7012
"Tire Retreading and Repair
tire_retreading_and_repair",7534
"Tolls/Bridge Fees
tolls_bridge_fees",4784
"Tourist Attractions and Exhibits
tourist_attractions_and_exhibits",7991
"Towing Services
towing_services",7549
"Trailer Parks, Campgrounds
trailer_parks_campgrounds",7033
"Transportation Services (Not Elsewhere Classified)
transportation_services",4789
"Travel Agencies, Tour Operators
travel_agencies_tour_operators",4722
"Truck Stops
truck_stop_iteration",7511
"Truck/Utility Trailer Rentals
truck_utility_trailer_rentals",7513
"Typesetting, Plate Making, and Related Services
typesetting_plate_making_and_related_services",2791
"Typewriter Stores
typewriter_stores",5978
"U.S. Federal Government Agencies or Departments Restricted
u_s_federal_government_agencies_or_departments",9405
"Uniforms, Commercial Clothing
uniforms_commercial_clothing",5137
"Used Merchandise and Secondhand Stores
used_merchandise_and_secondhand_stores",5931
"Utilities
utilities",4900
"Variety Stores
variety_stores",5331
"Veterinary Services
veterinary_services",742
"Video Amusement Game Supplies
video_amusement_game_supplies",7993
"Video Game Arcades
video_game_arcades",7994
"Video Tape Rental Stores
video_tape_rental_stores",7841
"Vocational/Trade Schools
vocational_trade_schools",8249
"Watch/Jewelry Repair
watch_jewelry_repair",7631
"Welding Repair
welding_repair",7692
"Wholesale Clubs
wholesale_clubs",5300
"Wig and Toupee Stores
wig_and_toupee_stores",5698
"Wires, Money Orders Restricted
wires_money_orders",4829
"Womens Accessory and Specialty Shops
womens_accessory_and_specialty_shops",5631
"Womens Ready-To-Wear Stores
womens_ready_to_wear_stores",5621
"Wrecking and Salvage Yards
wrecking_and_salvage_yards",5935
Was this page helpful?,
YesNo,
